班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
23357	应用基础	18	97.25		体育部	2014-2015	秋季学期	86.590909	1715
23358	应用基础	23	96.35	副教授	体育部	2014-2015	秋季学期	78.333333	1041
23359	应用基础	22	86.5	讲师	体育部	2014-2015	秋季学期	81.148148	1036
23360	应用基础	25	99.52	副教授	体育部	2014-2015	秋季学期	79.517241	1038
23361	应用基础	25	97.3	副教授	体育部	2014-2015	秋季学期	87.517241	1045
23362	应用基础	27	99.5	副教授	体育部	2014-2015	秋季学期	82.433333	1133
23363	应用基础	21	95.64	副教授	体育部	2014-2015	秋季学期	79.44	1041
23364	应用基础	18	86.75	讲师	体育部	2014-2015	秋季学期	87.35	1036
23365	应用基础	19	94.16	副教授	体育部	2014-2015	秋季学期	87.8	1045
23366	应用基础	17	99.65	副教授	体育部	2014-2015	秋季学期	83.2	1038
23367	应用基础	19	99.68	副教授	体育部	2014-2015	秋季学期	84.05	1133
23368	应用基础	20	82.38	讲师	体育部	2014-2015	秋季学期	75.708333	1036
23369	应用基础	19	95.34	副教授	体育部	2014-2015	秋季学期	62.956521	1042
23370	应用基础	22	94.75	副教授	体育部	2014-2015	秋季学期	83.222222	1041
23371	应用基础	21	98.21	副教授	体育部	2014-2015	秋季学期	78.48	1133
23372	应用基础	24	95.56	副教授	体育部	2014-2015	秋季学期	80.703703	764
23373	应用基础	15	98.4	副教授	体育部	2014-2015	秋季学期	87.764705	1044
23374	应用基础	19	98.9		体育部	2014-2015	秋季学期	86.384615	1715
23375	应用基础	21	95.14	讲师	体育部	2014-2015	秋季学期	87	1055
23376	应用基础	20	97.45	副教授	体育部	2014-2015	秋季学期	86.6	1052
23377	应用基础	15	97.7	讲师	体育部	2014-2015	秋季学期	85.92	1249
23378	专业选修	12	93.88	副教授	国际关系学院	2014-2015	秋季学期	84.294117	617
23379	专业必修	20	91.3	副教授	国际关系学院	2014-2015	秋季学期	76.75862	617
23380	全校共同课	26	91.52	讲师	国际关系学院	2014-2015	秋季学期	49.120689	1888
23381	全校共同课	21	99.61	副教授	外国语学院	2014-2015	秋季学期	85.36	1923
23382	全校共同课	20	97.53	副教授	外国语学院	2014-2015	秋季学期	80.88	406
23383	全校共同课	22	97.61	副教授	外国语学院	2014-2015	秋季学期	83.961538	406
23384	全校共同课	19	97	副教授	外国语学院	2014-2015	秋季学期	82.041666	406
23385	全校共同课	19	94.24	副教授	外国语学院	2014-2015	秋季学期	80.375	406
23386	全校共同课	20	98.24	副教授	外国语学院	2014-2015	秋季学期	82.041666	1923
23387	全校共同课	22	98.4		国际学院	2014-2015	秋季学期	81.482758	1757
23388	全校共同课	17	98.94	副教授	外国语学院	2014-2015	秋季学期	82.105263	406
23389	全校共同课	17	94.84	副教授	外国语学院	2014-2015	秋季学期	84.421052	406
23390	全校共同课	18	96.42	副教授	外国语学院	2014-2015	秋季学期	79.85	1923
23391	全校共同课	17	97.44	副教授	外国语学院	2014-2015	秋季学期	82.315789	1923
23392	全校共同课	16	98.83	副教授	外国语学院	2014-2015	秋季学期	84.526315	1923
23393	全校共同课	21	98.93		中法学院	2014-2015	秋季学期	93.96	1015
23394	全校共同课	20	90.14		中法学院	2014-2015	秋季学期	83.48	1014
23395	全校共同课	21	77.36		中法学院	2014-2015	秋季学期	86.615384	1517
23396	全校共同课	19	93.13		中法学院	2014-2015	秋季学期	85.083333	1014
23397	全校共同课	19	97.24		中法学院	2014-2015	秋季学期	83.25	1014
23398	全校共同课	20	97.49		中法学院	2014-2015	秋季学期	90.083333	1015
23399	全校共同课	22	93.69		中法学院	2014-2015	秋季学期	87.807692	1517
23400	全校共同课	17	92.68		中法学院	2014-2015	秋季学期	88.315789	1517
23401	全校共同课	17	91.35		中法学院	2014-2015	秋季学期	90.631578	1517
23402	全校共同课	18	96.54		中法学院	2014-2015	秋季学期	80.45	1014
23403	全校共同课	17	99.38		国际学院	2014-2015	秋季学期	93.315789	2038
23404	全校共同课	16	88.52		中法学院	2014-2015	秋季学期	90.368421	1517
23405	专业必修	47	96.94	教授	商学院	2014-2015	秋季学期	84.350877	633
23406	学科基础	34	97.42	副教授	商学院	2014-2015	秋季学期	87.1	1615
23407	学科基础	85	98.53	副教授	商学院	2014-2015	秋季学期	83.36036	1615
23408	学科基础	84	95.79	副教授	商学院	2014-2015	秋季学期	77.834782	984
23409	学科基础	9	99.83	讲师	外国语学院	2014-2015	秋季学期	86.3	1536
23410	学科基础	9	99.83	副教授	外国语学院	2014-2015	秋季学期	81.8	476
23411	专业选修	10	98.5	讲师	艺术学院	2014-2015	秋季学期	#N/A	1167
23412	专业选修	6	93.25	教授	艺术学院	2014-2015	秋季学期	#N/A	541
23413	专业选修	8	96.25	讲师	艺术学院	2014-2015	秋季学期	#N/A	620
23414	专业选修	6	95	讲师	艺术学院	2014-2015	秋季学期	#N/A	481
23415	专业必修	20	92.95	副教授	艺术学院	2014-2015	秋季学期	#N/A	431
23416	专业必修	9	87.33	讲师	艺术学院	2014-2015	秋季学期	#N/A	742
23417	专业必修	13	92.1	讲师	艺术学院	2014-2015	秋季学期	#N/A	742
23418	专业必修	7	93.46	副教授	艺术学院	2014-2015	秋季学期	#N/A	626
23419	专业必修	8	96.25	副教授	艺术学院	2014-2015	秋季学期	#N/A	540
23420	专业必修	6	95	讲师	艺术学院	2014-2015	秋季学期	#N/A	481
23421	专业选修	26	97.35	讲师	历史学院	2014-2015	秋季学期	86.53125	1762
23422	专业选修	30	98.48	副教授	国际关系学院	2014-2015	秋季学期	89.333333	1675
23423	专业选修	24	89.69	副教授	商学院	2014-2015	秋季学期	81.268292	1479
23424	专业选修	19	98.86	副教授	新闻学院	2014-2015	秋季学期	75.73913	674
23425	专业必修	32	96.13	教授	农业与农村发展学院	2014-2015	秋季学期	84.891891	185
23426	专业必修	31	96.93	教授	农业与农村发展学院	2014-2015	秋季学期	84.891891	1247
23427	专业必修	25	98.59	教授	农业与农村发展学院	2014-2015	秋季学期	82.633333	1247
23428	专业必修	25	98.38	教授	农业与农村发展学院	2014-2015	秋季学期	82.633333	185
23429	专业必修	16	94.94	讲师	公共管理学院	2014-2015	秋季学期	86.619047	1893
23430	全校共同课	28	88.91	讲师	外国语学院	2014-2015	秋季学期	86.03125	1274
23431	全校共同课	27	87.69	副教授	外国语学院	2014-2015	秋季学期	83.375	734
23432	全校共同课	25	96.85	讲师	外国语学院	2014-2015	秋季学期	84.75	845
23433	全校共同课	31	89.91	讲师	外国语学院	2014-2015	秋季学期	85.583333	1274
